Catwoman,2004,9
Supergirl,1984,10
Suicide Squad,2016,26
Justice League,2017,40
Watchmen,2009,64
Aquaman,2018,65
Batman,1989,72
Avengers Age of Ultron,2015,75
Thor,2011,77
Avengers Infinity War,2018,85
Guardians of the Galaxy V2,2017,85
Doctor Strange,2016,89
Captain America The First Avenger,2014,89
Shazam,2019,90
Captain America Civil War,2016,90
The Avengers,2012,92
Wonder Woman,2017,93
Avengers Endgame,2019,94
Iron Man,2008,94
Superman The Movie,1978,94
